scenario,strategy,strategy_label,trials,completed,completion_rate,completion_ci95_low,completion_ci95_high,initial_failures,recovered,recovery_success_rate,recovery_ci95_low,recovery_ci95_high,avg_logical_calls,p95_virtual_latency_ms,redispatch_rate,duplicate_side_effects,policy_violations,needs_reconciliation_rate
transient_timeout,B0,无自动恢复,100,26,0.26,0.18404698464748132,0.35370989449187173,74,0,0.0,0.0,0.049349779396386066,1.0,120.0,0.0,0,0,0.0
transient_timeout,B1,同 Agent 有界重试,100,100,1.0,0.9630065017930143,1.0,74,74,1.0,0.9506502206036139,1.0,1.74,220.0,0.0,0,0,0.0
transient_timeout,B2,同 Agent 重试后等价 Agent 改派,100,100,1.0,0.9630065017930143,1.0,74,74,1.0,0.9506502206036139,1.0,1.74,220.0,0.0,0,0,0.0
persistent_primary_failure,B0,无自动恢复,100,36,0.36,0.2727122040140433,0.4576459754839126,64,0,0.0,0.0,0.05662405979280534,1.0,120.0,0.0,0,0,0.0
persistent_primary_failure,B1,同 Agent 有界重试,100,36,0.36,0.2727122040140433,0.4576459754839126,64,0,0.0,0.0,0.05662405979280534,1.64,220.0,0.0,0,0,0.0
persistent_primary_failure,B2,同 Agent 重试后等价 Agent 改派,100,100,1.0,0.9630065017930143,1.0,64,64,1.0,0.9433759402071946,1.0,2.28,360.0,0.64,0,0,0.0
non_retryable_business_failure,B0,无自动恢复,100,0,0.0,3.341099972357286e-18,0.03699349820698568,100,0,0.0,3.341099972357286e-18,0.03699349820698568,1.0,120.0,0.0,0,0,0.0
non_retryable_business_failure,B1,同 Agent 有界重试,100,0,0.0,3.341099972357286e-18,0.03699349820698568,100,0,0.0,3.341099972357286e-18,0.03699349820698568,1.0,120.0,0.0,0,0,0.0
non_retryable_business_failure,B2,同 Agent 重试后等价 Agent 改派,100,0,0.0,3.341099972357286e-18,0.03699349820698568,100,0,0.0,3.341099972357286e-18,0.03699349820698568,1.0,120.0,0.0,0,0,0.0
missing_trusted_backup,B0,无自动恢复,100,0,0.0,3.341099972357286e-18,0.03699349820698568,100,0,0.0,3.341099972357286e-18,0.03699349820698568,1.0,120.0,0.0,0,0,0.0
missing_trusted_backup,B1,同 Agent 有界重试,100,0,0.0,3.341099972357286e-18,0.03699349820698568,100,0,0.0,3.341099972357286e-18,0.03699349820698568,2.0,220.0,0.0,0,0,0.0
missing_trusted_backup,B2,同 Agent 重试后等价 Agent 改派,100,0,0.0,3.341099972357286e-18,0.03699349820698568,100,0,0.0,3.341099972357286e-18,0.03699349820698568,2.0,240.0,0.0,0,0,0.0
side_effect_uncertain,B0,无自动恢复,100,0,0.0,3.341099972357286e-18,0.03699349820698568,100,0,0.0,3.341099972357286e-18,0.03699349820698568,1.0,120.0,0.0,0,0,1.0
side_effect_uncertain,B1,同 Agent 有界重试,100,0,0.0,3.341099972357286e-18,0.03699349820698568,100,0,0.0,3.341099972357286e-18,0.03699349820698568,1.0,120.0,0.0,0,0,1.0
side_effect_uncertain,B2,同 Agent 重试后等价 Agent 改派,100,0,0.0,3.341099972357286e-18,0.03699349820698568,100,0,0.0,3.341099972357286e-18,0.03699349820698568,1.0,120.0,0.0,0,0,1.0
ALL,B0,无自动恢复,500,62,0.124,0.09794609113930346,0.1557874128877838,438,0,0.0,0.0,0.008694201831913302,1.0,120.0,0.0,0,0,0.2
ALL,B1,同 Agent 有界重试,500,136,0.272,0.2348440922052204,0.31263260704524753,438,74,0.1689497716894977,0.13677089243453333,0.20688508594732705,1.476,220.0,0.0,0,0,0.2
ALL,B2,同 Agent 重试后等价 Agent 改派,500,200,0.4,0.35797899079473766,0.44354587729757294,438,138,0.3150684931506849,0.27333123513310126,0.36002141485952416,1.604,360.0,0.128,0,0,0.2
