scenario,strategy,seed,trial,fault_triggered,initial_failure,completed,recovered,logical_calls,retry_count,redispatch_count,virtual_latency_ms,duplicate_side_effects,policy_violations,needs_reconciliation,terminal_status,step_status,failure_code,recovery_path
transient_timeout,B0,11,0,1,1,0,0,1,0,0,120.0,0,0,0,FAILED,FAILED,AGENT_BUSINESS_ERROR,primary
transient_timeout,B1,11,0,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B2,11,0,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B0,11,1,0,0,1,0,1,0,0,120.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary
transient_timeout,B1,11,1,0,0,1,0,1,0,0,120.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary
transient_timeout,B2,11,1,0,0,1,0,1,0,0,120.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary
transient_timeout,B0,11,2,1,1,0,0,1,0,0,120.0,0,0,0,FAILED,FAILED,AGENT_BUSINESS_ERROR,primary
transient_timeout,B1,11,2,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B2,11,2,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B0,11,3,1,1,0,0,1,0,0,120.0,0,0,0,FAILED,FAILED,AGENT_BUSINESS_ERROR,primary
transient_timeout,B1,11,3,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B2,11,3,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B0,11,4,1,1,0,0,1,0,0,120.0,0,0,0,FAILED,FAILED,AGENT_BUSINESS_ERROR,primary
transient_timeout,B1,11,4,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B2,11,4,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B0,11,5,1,1,0,0,1,0,0,120.0,0,0,0,FAILED,FAILED,AGENT_BUSINESS_ERROR,primary
transient_timeout,B1,11,5,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B2,11,5,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B0,11,6,1,1,0,0,1,0,0,120.0,0,0,0,FAILED,FAILED,AGENT_BUSINESS_ERROR,primary
transient_timeout,B1,11,6,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B2,11,6,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B0,11,7,0,0,1,0,1,0,0,120.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary
transient_timeout,B1,11,7,0,0,1,0,1,0,0,120.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary
transient_timeout,B2,11,7,0,0,1,0,1,0,0,120.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary
transient_timeout,B0,11,8,1,1,0,0,1,0,0,120.0,0,0,0,FAILED,FAILED,AGENT_BUSINESS_ERROR,primary
transient_timeout,B1,11,8,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B2,11,8,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B0,11,9,1,1,0,0,1,0,0,120.0,0,0,0,FAILED,FAILED,AGENT_BUSINESS_ERROR,primary
transient_timeout,B1,11,9,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B2,11,9,1,1,1,1,2,1,0,220.0,0,0,0,SUCCEEDED,SUCCEEDED,,primary>same_agent_retry
transient_timeout,B0,11,10,1,1,0,0,1,0,0,120.0,0,0,0,FAILED,FAILED,AGENT_BUSINESS_ERROR,primary
